C	N(C)
1	125462
10	829
100	4
1000	1
101	12
1018	1
102	4
103	9
104	5
105	6
1057	1
106	6
107	8
1071	1
108	7
109	1
11	658
110	4
1106	1
111	5
112	3
113	7
1138	1
114	3
1149	1
115	11
116	2
117	3
118	6
119	6
12	533
120	6
1201	1
121	8
122	7
123	9
124	4
125	5
126	7
127	5
128	2
129	4
1290	1
13	470
130	2
1303	1
131	5
1319	1
132	3
133	2
134	3
135	3
136	3
138	1
139	5
14	406
140	5
141	2
142	2
1428	1
143	2
144	3
145	2
146	2
147	3
148	5
149	3
15	358
151	5
152	1
153	3
155	5
156	3
157	3
158	1
159	2
16	325
160	4
162	3
163	1
164	3
165	3
166	6
1662	1
167	1
168	2
169	4
1692	1
17	309
170	2
171	1
172	2
173	1
174	4
175	1
176	1
177	4
178	3
179	1
18	248
181	1
182	2
184	3
185	1
1875	1
188	5
189	1
19	222
190	2
192	2
195	2
196	1
197	2
199	3
2	21161
20	209
200	1
201	1
2012	1
202	4
206	1
207	4
208	1
209	2
21	180
210	1
212	1
214	1
215	2
216	3
217	2
219	1
22	181
220	1
221	3
222	1
224	4
226	2
227	1
228	1
23	130
230	2
232	1
2338	1
234	4
236	1
239	1
24	123
240	1
243	1
244	1
246	3
249	1
25	108
250	1
252	1
253	2
254	1
256	1
257	2
26	117
261	3
262	1
264	1
265	1
266	3
267	1
268	1
27	102
270	1
272	2
276	1
28	103
280	1
2823	1
285	1
286	1
287	1
289	1
29	86
290	1
291	1
293	1
295	1
299	1
3	8698
30	97
300	1
31	81
310	2
311	1
313	1
319	1
32	87
320	2
322	1
324	2
327	1
328	1
33	66
331	1
333	1
334	2
336	1
34	61
342	1
343	1
344	1
346	3
347	1
35	56
352	1
354	1
358	1
36	51
361	1
362	1
365	1
368	1
369	2
37	55
375	1
379	1
38	68
381	1
386	1
389	1
39	60
393	2
395	1
397	1
399	2
4	4890
40	46
400	1
406	2
407	1
408	1
41	53
411	1
413	2
42	40
420	1
421	1
424	1
427	2
43	40
433	1
434	1
44	38
442	1
448	2
45	53
451	1
457	1
459	1
46	40
465	1
47	27
472	1
475	1
48	30
488	1
49	34
494	1
499	1
5	3048
50	29
500	1
51	17
515	1
518	1
52	19
53	33
531	1
533	1
54	16
545	1
547	1
55	19
553	2
56	22
561	1
566	1
57	21
571	1
576	1
58	29
582	1
59	22
594	1
6	2146
60	25
61	14
616	1
62	12
620	1
624	1
63	18
64	23
646	1
647	1
65	14
659	1
66	18
665	1
67	10
672	1
68	19
683	2
686	1
69	12
7	1625
70	24
71	14
715	1
72	21
73	12
730	1
736	1
74	14
741	1
75	18
76	11
77	12
78	17
79	8
793	1
8	1219
80	22
81	13
82	7
83	17
84	14
844	1
85	5
86	11
87	7
88	10
89	6
9	997
90	10
91	5
911	1
92	6
928	1
929	1
93	8
94	7
95	3
956	1
96	11
961	1
97	11
98	11
99	7
997	1
